"customer_id","merchant_id","loan_id","application_date","currency","transaction_fee","merchant_status","store_id","term","risk_score","disbursed_date","loanamount","paid_date","city","state","channel","is_disbursed","first_vintage_pay","full_name","age","gender","tel_number","email","merchant_name","merchant_size","store_name","fraud_score"
"6175zihg257z157252g718hy","718128581714868","loan_6481502","2021/10/24 14:11:24","MXN",0.055,"8.1 Cancelled by Kueski",NA,"6",0.7,"2021-10-24",1057.77,NA,"Xochimilco","Ciudad de México","Social Media",TRUE,"2021-10-24","Tonia Dimas",64,"M",3384457317,"email_2174@gmail.com","merchant_name_1","large",NA,0.9
"614z5015y6x2214855489271","522186628800710","loan_3749096","2021/11/10 13:37:47","MXN",0.04,"7 Live",NA,"8",0.1,"2021-11-10",8737.369999999999,"2022-03-03","General Escobedo","Nuevo León","Social Media",TRUE,"2021-10-11","Yisa Vigil",56,"M",3351387262,"email_1927@gmail.com","merchant_name_2","medium",NA,0.1
"61943hyxi6z2yhy1hz0099x7","594329253193244","loan_1900432","2021/11/16 17:25:03","MXN",NA,"7 Live",NA,"6",0.6,NA,960.68,NA,"Chiautempan","Tlaxcala","Social Media",FALSE,"2021-11-16","Marly Lucero",25,"M",3383127058,"email_2498@gmail.com","merchant_name_3","medium",NA,0.1
"6196iyxz30yyx4gy6y88i89x","763169811475744","loan_7910522","2021/11/20 10:39:43","MXN",0,"7 Live",NA,"4",0.8,"2021-11-20",2841.7805,"2022-01-14","Escuinapa","Sinaloa","Social Media",TRUE,"2021-11-20","Briana Atencio",38,"M",3328011786,"email_2927@gmail.com","merchant_name_4","small",NA,0.7
"61z037i5iy38gyixxhi91gh0","522186628800710","loan_8124862","2021/11/26 14:08:31","MXN",0.04,"7 Live",NA,"8",0.1,"2021-11-26",3795.5255,NA,"Chicoloapan","Estado de México","Social Media",TRUE,"2021-11-26","Luis Mercure",23,"H",3353825246,"email_2760@gmail.com","merchant_name_2","medium",NA,0.7
"619710z3xy5867iz5g2y3iyx","732803872598314","loan_6898886","2021/11/29 16:05:49","MXN",0.055,"8.1 Cancelled by Kueski",NA,"6",0.8,"2021-11-29",1470.95,"2022-03-02","Cuautitlán Izcalli","Estado de México","Social Media",TRUE,"2021-11-18","Kaylee Gomez",63,"M",3336091636,"email_1819@gmail.com","merchant_name_5","large",NA,0.2
"618h4505052x48zg101z930z","522186628800710","loan_0208016","2021/12/02 11:50:03","MXN",0.04,"7 Live",NA,"6",0.5,"2021-12-02",6569.2699999999995,"2022-01-05","Oaxaca de Juárez","Oaxaca","Social Media",TRUE,"2021-11-11","Andrea Balderas",35,"M",3308960080,"email_2513@gmail.com","merchant_name_2","medium",NA,0.6
"61934h94276hiix5ii9xizy4","310238037418214","loan_8320494","2021/12/02 14:09:41","MXN",0.0288,"7 Live",NA,"6",0.6,"2021-12-02",2717.79,NA,"Culiacán","Sinaloa","Social Media",TRUE,"2021-11-16","Nina Chadwick",46,"M",3316005424,"email_1168@gmail.com","merchant_name_6","medium",NA,0.7
"6195278i01i775zy84z70385","760929616932146","loan_9158886","2021/12/28 23:27:14","MXN",0,"7 Live",NA,"6",0.9,"2021-12-28",1131.5,"2022-02-27","Iztapalapa","Ciudad de México","Social Media",TRUE,"2021-11-30","Marlene Franco-Aguilar",42,"M",3371046397,"email_1211@gmail.com","merchant_name_7","extra-large",NA,0.9
"61x5g18626341iy5zx73ziyg","818170994893804","loan_2066444","2022/01/17 12:50:14","MXN",0.055,"7 Live",NA,"6",0.6,"2022-01-17",874.54,NA,"Chihuahua","Chihuahua","Social Media",TRUE,"2022-01-17","Jessica Estrada",38,"M",3364685448,"email_2104@gmail.com","merchant_name_8","small",NA,0.8
"619547143i7935x3i36z4z93","753870620074300","loan_9335888","2022/01/17 19:12:53","MXN",0.055,"7 Live",NA,"6",0.7,"2022-01-17",2080.7482,"2022-04-18","San Luis Potosí","San Luis Potosi","Social Media",TRUE,"2021-11-17","Angelica Martinez",56,"M",3350975015,"email_890@gmail.com","merchant_name_9","extra-large",NA,0.9
"6155x1412z1x1g082834ghz9","716945251115144","loan_2659642","2022/01/20 10:53:47","MXN",0.04,"7 Live",NA,"8",0.9,"2022-01-20",1459.27,"2022-08-02","Acapulco de Juárez","Guerrero","Social Media",TRUE,"2021-10-01","Xochitlmaria Solorzano",31,"M",3333753900,"email_821@gmail.com","merchant_name_10","small",NA,0.6
"61i2gh3zg3195649zz07y7x8","738609686913416","loan_8371676","2022/01/27 09:46:07","MXN",0.049,"7 Live",NA,"6",0.6,"2022-01-27",1350.5,"2022-05-02","Toluca","Estado de México","Social Media",TRUE,"2022-01-27","Jordan Payan",33,"H",3308112023,"email_2827@gmail.com","merchant_name_11","medium",NA,0.2
"6192xh865y61g7h7059111x0","522186628800710","loan_1545310","2022/02/11 18:55:55","MXN",0.04,"7 Live",NA,"4",0.6,"2022-02-11",4189.031999999999,"2022-02-12","Apodaca","Nuevo León","Social Media",TRUE,"2021-11-17","Christopher Cisneros",24,"H",3340322971,"email_1881@gmail.com","merchant_name_2","medium",NA,0.4
"61z2gx0927412z936064x512","747940595639246","loan_6122648","2022/02/14 21:10:11","MXN",0.055,"7 Live",NA,"6",0.3,"2022-02-14",2920,"2022-02-26","Mérida","Yucatán","Social Media",TRUE,"2021-11-27","Monique Abrego Pineda",44,"M",3354720178,"email_2806@gmail.com","merchant_name_12","medium",NA,0.6
"61608i373189x2h48ighh655","703110028993240","loan_4592448","2022/02/15 16:54:20","MXN",0.055,"7 Live",NA,"6",0.9,"2022-02-15",833.076,"2022-05-25","Reynosa","Tamaulipas","Social Media",TRUE,"2022-02-03","Edwin Lazzu",28,"H",3331155857,"email_2303@gmail.com","merchant_name_13","medium",NA,0.4
"621146493ig81h06762hzx8y","522186628800710","loan_2718352","2022/02/19 14:06:58","MXN",0.04,"7 Live",NA,"4",0.4,"2022-02-19",440.92,"2022-04-14","Cozumel","Quintana Roo","Social Media",TRUE,"2022-02-19","Brianna Vigil",48,"M",3396526610,"email_2163@gmail.com","merchant_name_2","medium",NA,0.3
"61707i735g8iyi50y131i697","701630404370550","loan_4369956","2022/03/06 18:03:07","MXN",0.035,"7 Live",NA,"2",0.9,"2022-03-06",327.03999999999996,"2022-03-31","Benito Juárez","Quintana Roo","Social Media",TRUE,"2021-10-20","Ivan Ortiz",25,"H",3301016572,"email_1229@gmail.com","merchant_name_14","medium",NA,0.3
